"BirdID","Brood.natal","Brood.rearing","Age","Year","Mass","max.temp","Air.temp","surv"
"9987","R010","R012","2",2018,1.9,26.4,16.2,1
"9988","R010","R012","2",2018,2,24.5,15.9,1
"9989","R010","R012","10",2018,5.8,32.44431946,12,1
"9989","R010","R012","2",2018,2.1,25,15.8,0
"9990","R012","R010","2",2018,2.9,27.5,14.1,1
"9991","R012","R010","2",2018,3.1,26.2,13.9,1
"9992","R012","R010","2",2018,2.6,25.3,13.9,1
"9993","R012","R012","2",2018,2,24.5,13.9,0
"9993","R012","R012","10",2018,6.4,31.5106692,11.7,1
"9997","R013","R011","2",2018,1.9,31.1,13.2,1
"9998","R013","R011","10",2018,11.5,32.3,12.9,1
"9998","R013","R011","2",2018,2.6,30.5,13.2,0
"9999","R013","R011","2",2018,2.9,29.3,13.6,1
"10000","R013","R011","2",2018,2.1,27.7,13.4,1
"10001","R011","R013","2",2018,3.8,26.3,12.4,1
"10002","R011","R013","2",2018,3.7,25.8,12.5,1
"10003","R011","R013","2",2018,2.2,25.3,12.1,1
"10004","R011","R013","2",2018,2.6,23.8,12.8,1
"10011","R017","R016","2",2018,2.2,29.9,11.4,1
"10011","R017","R016","10",2018,8.2,31.8,15.2,1
"10011","R017","R016","12",2018,10.2,33.64025765,15.9,1
"10012","R017","R016","5",2018,5.4,31.5,12.8,0
"10012","R017","R016","2",2018,2.6,31,11.4,1
"10012","R017","R016","10",2018,7.8,32.2,15.2,1
"10012","R017","R016","12",2018,9.8,34.55159694,15.9,1
"10013","R017","R017","2",2018,3.4,30.8,11.5,0
"10014","R017","R017","2",2018,2.5,28,11.5,1
"10015","R016","R017","2",2018,3.3,27.8,11.9,1
"10016","R016","R017","2",2018,3.5,27.6,12,0
"10019","R018","R018","12",2018,11.5,31.77616242,14.2,1
"10019","R018","R018","5",2018,4.9,30.6,13.5,1
"10019","R018","R018","10",2018,9.7,35.2,15.7,1
"10019","R018","R018","2",2018,3.2,27.3,12.7,1
"10020","R018","R018","12",2018,13.2,33.37217305,14.2,1
"10020","R018","R018","2",2018,3,25.5,12.7,1
"10020","R018","R018","10",2018,11.3,34.7,15.8,1
"10020","R018","R018","5",2018,4,30.8,13.5,0
"10021","R029","R029","5",2018,9.6,37.6237128,16.2,1
"10021","R029","R029","10",2018,21,36.32558498,15.2,1
"10021","R029","R029","2",2018,4.6,32.2,13.1,1
"10022","R029","R029","5",2018,8.1,35.7,16.2,1
"10022","R029","R029","2",2018,4.6,32.4,13.1,1
"10022","R029","R029","10",2018,18.9,36.90663166,15.2,1
"10023","R029","R029","2",2018,3.1,30.4,13.2,1
"10023","R029","R029","10",2018,18.2,36.17158313,15.4,1
"10023","R029","R029","5",2018,7.6,35.85363764,16.7,1
"10026","R031","R031","2",2018,3.1,28,14.1,0
"10031","R014","R015","5",2018,8.3,27.2,14,1
"10031","R014","R015","12",2018,23.7,39.0192787,13.5,1
"10031","R014","R015","2",2018,3.3,26.8,15.7,1
"10031","R014","R015","10",2018,17.9,33.58638734,14.7,1
"10032","R014","R015","12",2018,19.9,35.08488038,13.6,1
"10032","R014","R015","5",2018,6.9,25.5,14,1
"10032","R014","R015","2",2018,2.5,27.9,15.7,1
"10032","R014","R015","10",2018,14.6,33.36191285,14.7,1
"10033","R014","R014","5",2018,8.3,31.6,13.9,1
"10033","R014","R014","12",2018,26,38.94089881,12.9,1
"10033","R014","R014","2",2018,2.5,27.2,15.8,1
"10033","R014","R014","10",2018,18.5,36.23016842,14.6,0
"10034","R014","R014","12",2018,24.4,37.72738375,12.9,1
"10034","R014","R014","2",2018,4.8,27.2,15.8,1
"10034","R014","R014","10",2018,23.2,36.53550014,14.6,1
"10034","R014","R014","5",2018,10.6,33.61062869,13.8,1
"10035","R015","R014","2",2018,3.1,29.9,15.5,1
"10036","R015","R014","2",2018,2.1,27,15.5,1
"10038","R019","R035","10",2018,6.6,35.6,16.4,1
"10038","R019","R035","5",2018,3.3,28.48125428,14.6,1
"10038","R019","R035","2",2018,2.1,25.3,15.2,1
"10040","R035","R019","2",2018,3.2,28.1,14.9,1
"10041","R035","R035","5",2018,8.6,33.03436672,14.5,1
"10041","R035","R035","10",2018,20.7,41.09808983,16.4,0
"10041","R035","R035","2",2018,3.7,27.9,14.9,1
"10042","R035","R035","10",2018,19.8,38.25849829,16.4,1
"10042","R035","R035","2",2018,3.1,26.9,14.8,1
"10042","R035","R035","5",2018,7.3,32.35614529,14.5,0
"10043","R023","R021","10",2018,16.7,33.95419944,12.9,1
"10043","R023","R021","2",2018,3,30.2,15,1
"10043","R023","R021","12",2018,20.6,38.61020843,18.2,1
"10043","R023","R021","5",2018,6.8,27.76206396,12.5,1
"10044","R023","R021","2",2018,3.7,29,14.9,1
"10044","R023","R021","10",2018,23.8,36.44006289,12.9,0
"10044","R023","R021","12",2018,26.2,38.25469639,18.4,1
"10044","R023","R021","5",2018,9.5,27.58209211,12.7,1
"10045","R023","R038","2",2018,2.3,26.5,14.4,1
"10046","R023","R023","5",2018,4.8,29.59375343,10.5,1
"10046","R023","R023","2",2018,2,27.6,16.8,1
"10046","R023","R023","12",2018,11.3,35.4048524,12.9,1
"10047","R021","R038","5",2018,5.9,30.05225422,14.8,1
"10047","R021","R038","10",2018,7.9,28.88170389,13.8,0
"10047","R021","R038","2",2018,2.7,27.7,13.5,1
"10048","R021","R038","10",2018,18.3,35.05083563,13.8,1
"10048","R021","R038","5",2018,8.2,28.03039936,14.8,0
"10048","R021","R038","2",2018,3.7,26.8,13.7,1
"10051","R038","R023","5",2018,7.7,29.4,10.4,0
"10051","R038","R023","10",2018,19.4,35.48541013,11.7,0
"10051","R038","R023","2",2018,2.8,26.3,15.4,1
"10051","R038","R023","12",2018,21.9,33.08356003,11.3,1
"10052","R038","R023","12",2018,18.8,35.73653816,12.4,1
"10052","R038","R023","5",2018,6.5,30.1,10.4,1
"10052","R038","R023","2",2018,2.9,27.1,15.4,1
"10052","R038","R023","10",2018,16,34.9676983,12,1
"10053","R038","R023","12",2018,22.8,35.8906005,11.9,1
"10053","R038","R023","5",2018,9.6,30.3,10.4,1
"10053","R038","R023","10",2018,20.9,35.53075079,11.5,0
"10053","R038","R023","2",2018,3,28,15.5,0
"10055","R028","R028","10",2018,20.7,35.35944029,13.2,1
"10055","R028","R028","5",2018,8.4,32.97613176,14.4,1
"10055","R028","R028","2",2018,3.2,29.9,15.1,0
"10055","R028","R028","12",2018,22.7,37.32803311,15.6,1
"10056","R028","R028","12",2018,20.1,38.00999747,15.7,1
"10056","R028","R028","10",2018,18.1,33.11659958,13.2,1
"10056","R028","R028","2",2018,3.2,28.8,15.1,1
"10056","R028","R028","5",2018,7.2,36.11391511,14.4,1
"10057","R028","R028","5",2018,4.6,31.22187652,14.5,1
"10057","R028","R028","12",2018,10.5,35.33551791,15.8,1
"10057","R028","R028","2",2018,2.7,26.8,15.1,0
"10057","R028","R028","10",2018,10.3,29.94631394,13.3,0
"10059","R026","R027","12",2018,21.3,39.72000059,20.1,1
"10059","R026","R027","5",2018,7.2,34.1189562,15.2,1
"10059","R026","R027","2",2018,3,25.7,13.9,1
"10059","R026","R027","10",2018,15.8,36.37948918,15.1,1
"10060","R026","R027","5",2018,8.9,31.66650829,15.2,0
"10060","R026","R027","10",2018,19.1,37.16611373,15.1,1
"10060","R026","R027","2",2018,3.3,24.6,13.9,1
"10060","R026","R027","12",2018,23.6,38.84613975,19.9,1
"10061","R026","R026","2",2018,1.7,22.6,13.9,1
"10062","R026","R026","2",2018,1.9,20.9,14,1
"10063","R026","R026","5",2018,4.6,30.58218925,15.1,0
"10063","R026","R026","2",2018,3,21.3,14,1
"10064","R027","R026","5",2018,5.7,31.58365971,15.1,1
"10064","R027","R026","2",2018,3.3,28.8,14.1,1
"10064","R027","R026","10",2018,13.5,37.16728381,15.4,0
"10064","R027","R026","12",2018,18.6,40.55722108,20.9,1
"10065","R027","R026","5",2018,6.3,29.72448,15.1,1
"10065","R027","R026","2",2018,3.6,27.3,14.1,1
"10067","R033","R034","12",2018,20.2,39.94269251,18.1,0
"10067","R033","R034","10",2018,18.7,34.98136201,14.7,1
"10067","R033","R034","2",2018,3.3,21.4,12.4,1
"10067","R033","R034","5",2018,6.4,28.21037222,10.8,1
"10068","R033","R034","12",2018,14.9,36.1125928,18.1,1
"10068","R033","R034","10",2018,12.9,35.04450067,14.7,1
"10068","R033","R034","5",2018,5.6,28.32173318,10.8,1
"10068","R033","R034","2",2018,2,21.5,12.4,1
"10069","R033","R034","2",2018,2,22.4,12.4,1
"10070","R034","R033","12",2018,18.9,37.2,16.5,1
"10070","R034","R033","2",2018,4.8,29.6,11.8,1
"10070","R034","R033","5",2018,7.8,30.24364549,10.6,0
"10070","R034","R033","10",2018,12.4,36.57331126,15.2,1
"10071","R034","R033","12",2018,12,38.32827531,16.3,1
"10071","R034","R033","10",2018,11.6,36.74471697,15.2,1
"10071","R034","R033","2",2018,4,28.4,11.8,1
"10071","R034","R033","5",2018,6.6,29.6301654,10.5,1
"10072","R034","R033","10",2018,10.3,35.14516161,15.1,1
"10072","R034","R033","12",2018,11.4,35.9937726,16.6,1
"10072","R034","R033","5",2018,6,29.53235518,10.5,1
"10072","R034","R033","2",2018,4.1,28.5,11.9,1
"10073","R034","R034","5",2018,6.8,30.8,10.8,0
"10073","R034","R034","12",2018,17.4,35.7106615,18.2,1
"10073","R034","R034","10",2018,16,36.07199207,14.7,1
"10073","R034","R034","2",2018,2.2,27,11.9,1
"10074","R034","R034","12",2018,17.7,38.22780632,18.1,1
"10074","R034","R034","5",2018,6.3,25.65316254,10.9,1
"10074","R034","R034","10",2018,15.6,33.43674671,14.7,0
"10074","R034","R034","2",2018,2.2,26.5,12.1,1
"10075","R037","R040","2",2018,3.8,24.8,10.2,1
"10075","R037","R040","10",2018,17.7,37.42919547,17.6,1
"10075","R037","R040","5",2018,9.6,32.6,15.5,1
"10076","R037","R040","5",2018,8.4,31.5783304,15.5,1
"10076","R037","R040","10",2018,18,36.9976781,17.7,1
"10076","R037","R040","2",2018,2.7,20.1,10.2,1
"10077","R040","R037","12",2018,23.2,39.64503566,19.5,1
"10077","R040","R037","5",2018,6.1,34.44936661,18.7,1
"10077","R040","R037","2",2018,3.8,26.4,11.7,1
"10077","R040","R037","10",2018,20.9,38.13752852,16.6,1
"10078","R040","R037","5",2018,6.6,33.91264893,18.8,1
"10078","R040","R037","12",2018,26.5,39.86949905,19.5,1
"10078","R040","R037","10",2018,21.2,37.58176095,16.2,1
"10078","R040","R037","2",2018,2.7,24.1,11.8,1
"10079","R040","R040","5",2018,12.2,35.24944357,18.7,1
"10079","R040","R040","2",2018,4.4,26.1,11.9,1
"10079","R040","R040","10",2018,22.4,39.40551714,17.7,1
"10080","R039","R042","10",2018,15.8,36.66968037,14.8,0
"10080","R039","R042","12",2018,20,39.91326518,16.8,0
"10080","R039","R042","5",2018,6.9,31.68223148,13,1
"10080","R039","R042","2",2018,3.1,25.4,10.5,0
"10081","R039","R042","5",2018,5.8,33.23337725,12.9,1
"10081","R039","R042","12",2018,15.3,39.64295096,16.8,1
"10081","R039","R042","10",2018,11.1,35.29804758,14.8,1
"10081","R039","R042","2",2018,2,22.1,10.5,1
"10082","R039","R042","12",2018,18.2,40.20784894,16.9,1
"10082","R039","R042","10",2018,14.5,35.53067537,14.8,1
"10082","R039","R042","5",2018,6.6,30.60931864,13,1
"10082","R039","R042","2",2018,2.8,22.1,10.5,1
"10083","R039","R039","10",2018,7.5,32.64312196,15.8,1
"10083","R039","R039","5",2018,3.7,26.90598627,12.8,1
"10083","R039","R039","2",2018,3.2,20.9,10.5,0
"10084","R042","R043","12",2018,17,38.6,16.9,1
"10084","R042","R043","10",2018,15.6,36.57932837,14.5,1
"10084","R042","R043","5",2018,8.4,29.50010406,13.4,1
"10084","R042","R043","2",2018,2.9,25.3,10.4,1
"10085","R042","R043","5",2018,7.8,31.78898774,13.4,0
"10085","R042","R043","10",2018,13.5,34.78104462,14.5,1
"10085","R042","R043","12",2018,15.5,34.98855878,16.9,1
"10085","R042","R043","2",2018,3.3,26.3,10.4,0
"10086","R042","R043","12",2018,17,40.60392838,16.9,1
"10086","R042","R043","2",2018,3.3,25.9,10.4,1
"10086","R042","R043","10",2018,14.2,35.73003538,14.5,1
"10086","R042","R043","5",2018,8.7,29.291915,13.4,0
"10087","R043","R039","5",2018,9.9,36.41525134,12.8,1
"10087","R043","R039","2",2018,5.7,28.7,10.5,1
"10087","R043","R039","12",2018,22.4,40.03642796,16.8,1
"10087","R043","R039","10",2018,20,37.38426937,15.9,1
"10088","R043","R039","12",2018,22.1,35.84576112,16.8,0
"10088","R043","R039","5",2018,10.3,32.75397872,12.8,0
"10088","R043","R039","10",2018,19.2,36.72707579,15.5,1
"10088","R043","R039","2",2018,5.5,27.9,10.5,1
"10089","R043","R039","2",2018,3.9,26.4,10.5,1
"10089","R043","R039","5",2018,5.8,31.97884628,12.8,0
"10091","R045","R036","5",2018,8,25.28015489,13,1
"10091","R045","R036","2",2018,4.2,29.9,11.1,0
"10092","R045","R036","5",2018,6.8,24.14265991,13,0
"10092","R045","R036","2",2018,2.5,26.7,11.1,1
"10093","R045","R041","2",2018,3.5,25.9,11.1,0
"10093","R045","R041","5",2018,9.7,30.95648982,14.2,1
"10093","R045","R041","12",2018,18.1,39.103236,20.3,1
"10093","R045","R041","10",2018,15.4,36.568955,14.6,0
"10094","R041","R045","10",2018,14.6,36.78774974,15.5,1
"10094","R041","R045","12",2018,20.3,39.21191758,22.3,0
"10094","R041","R045","2",2018,3.5,23.3,10.8,1
"10094","R041","R045","5",2018,8,31.58085258,15.1,1
"10095","R041","R045","12",2018,22.6,40.32581077,22.2,1
"10095","R041","R045","2",2018,3.7,22.3,10.8,1
"10095","R041","R045","5",2018,8.7,31.53785529,15.1,1
"10095","R041","R045","10",2018,14.8,37.71138722,15.4,1
"10096","R041","R045","12",2018,19.2,38.7,22.2,1
"10096","R041","R045","2",2018,3,20.8,10.8,0
"10096","R041","R045","10",2018,15,37.81775021,15.5,1
"10096","R041","R045","5",2018,8.5,30.86999218,15.1,1
"10097","R041","R041","2",2018,2.1,19.2,10.8,0
"10098","R036","R041","10",2018,10.5,36.22395208,14.6,1
"10098","R036","R041","5",2018,7.8,32.10390534,14.2,1
"10098","R036","R041","12",2018,13.3,38.21575039,20.4,1
"10098","R036","R041","2",2018,4.3,31.4,10.8,1
"10099","R036","R041","10",2018,18.4,37.94861429,14.6,1
"10099","R036","R041","12",2018,22.3,39.12901554,20.2,1
"10099","R036","R041","5",2018,10.5,35.36837244,14.2,1
"10099","R036","R041","2",2018,4,30.7,10.8,1
"10102","R046","R047","2",2018,2.8,25.1,12.5,0
"10102","R046","R047","5",2018,7.2,33.69698982,20.1,1
"10103","R046","R047","2",2018,3.2,25.4,12.5,1
"10103","R046","R047","5",2018,7.1,30.5182705,20.1,1
"10104","R046","R047","2",2018,2.6,23.7,12.5,0
"10104","R046","R047","5",2018,7,31.75601512,20.1,1
"10104","R046","R047","10",2018,15.3,39.21120094,24.5,1
"10105","R046","R047","5",2018,8.6,32.43851595,20.1,1
"10105","R046","R047","2",2018,3.2,22.7,12.5,1
"10106","R049","R046","2",2018,1.9,29.4,17.2,1
"10107","R049","R046","2",2018,4,28.6,17.2,1
"10107","R049","R046","10",2018,8.5,35.9,17.5,1
"10107","R049","R046","5",2018,6,33.2,18.5,0
"10108","R049","R046","5",2018,8.2,34.1,18.1,1
"10108","R049","R046","10",2018,18.1,37.76923792,17.4,1
"10108","R049","R046","2",2018,4,28.42473308,17.4,1
"10109","R049","R046","10",2018,19.4,39.95103649,17.4,1
"10109","R049","R046","2",2018,4.4,26.50809841,17.5,1
