"BirdID","Dam","Sire"
"4495",NA,NA
"4441",NA,NA
"4496",NA,NA
"4442",NA,NA
"4497",NA,NA
"4498",NA,NA
"4420",NA,NA
"4443",NA,NA
"512",NA,NA
"6245",NA,NA
"6238",NA,NA
"7022",NA,NA
"8636",NA,NA
"8304",NA,NA
"8300",NA,NA
"8060",NA,NA
"8750",NA,NA
"8941",NA,NA
"4412",NA,NA
"4416",NA,NA
"4414",NA,NA
"4413",NA,NA
"4417",NA,NA
"4415",NA,NA
"4418",NA,NA
"4419",NA,NA
"500",NA,NA
"513",NA,NA
"504",NA,NA
"505",NA,NA
"499",NA,NA
"494",NA,NA
"5676",NA,NA
"5669",NA,NA
"7024",NA,NA
"6887",NA,NA
"6645",NA,NA
"6562",NA,NA
"8748",NA,NA
"9038",NA,NA
"8752",NA,NA
"8747",NA,NA
"10179",NA,NA
"5680",NA,NA
"5681",NA,NA
"5682",NA,NA
"5683",NA,NA
"5685",NA,NA
"5689",NA,NA
"5690",NA,NA
"5691",NA,NA
"5692",NA,NA
"5693",NA,NA
"5697",NA,NA
"5698",NA,NA
"5699",NA,NA
"5704",NA,NA
"5705",NA,NA
"5706",NA,NA
"5707",NA,NA
"5708",NA,NA
"5709",NA,NA
"5684",NA,NA
"5686",NA,NA
"5687",NA,NA
"5688",NA,NA
"5694",NA,NA
"5695",NA,NA
"5696",NA,NA
"5700",NA,NA
"5701",NA,NA
"5702",NA,NA
"5703",NA,NA
"5710",NA,NA
"5711",NA,NA
"5713",NA,NA
"5714",NA,NA
"4401",NA,NA
"5712",NA,NA
"5715",NA,NA
"5716",NA,NA
"5717",NA,NA
"5719",NA,NA
"5720",NA,NA
"5721",NA,NA
"5723",NA,NA
"5724",NA,NA
"5725",NA,NA
"5726",NA,NA
"5728",NA,NA
"5729",NA,NA
"5732",NA,NA
"5733",NA,NA
"5734",NA,NA
"5736",NA,NA
"5737",NA,NA
"5738",NA,NA
"5739",NA,NA
"5741",NA,NA
"5727",NA,NA
"5730",NA,NA
"5731",NA,NA
"5735",NA,NA
"5740",NA,NA
"5742",NA,NA
"5743",NA,NA
"5744",NA,NA
"5745",NA,NA
"5746",NA,NA
"5747",NA,NA
"5749",NA,NA
"5750",NA,NA
"5760",NA,NA
"5761",NA,NA
"5748",NA,NA
"5752",NA,NA
"5753",NA,NA
"5754",NA,NA
"5755",NA,NA
"5756",NA,NA
"5757",NA,NA
"5758",NA,NA
"5759",NA,NA
"5762",NA,NA
"5763",NA,NA
"5764",NA,NA
"5765",NA,NA
"5766",NA,NA
"5767",NA,NA
"5768",NA,NA
"5769",NA,NA
"5771",NA,NA
"5783",NA,NA
"5784",NA,NA
"5785",NA,NA
"5786",NA,NA
"5787",NA,NA
"4399",NA,NA
"4402",NA,NA
"4409",NA,NA
"4410",NA,NA
"4411",NA,NA
"4499",NA,NA
"5770",NA,NA
"5772",NA,NA
"5773",NA,NA
"5774",NA,NA
"5775",NA,NA
"5776",NA,NA
"5777",NA,NA
"5778",NA,NA
"5779",NA,NA
"5780",NA,NA
"5781",NA,NA
"5782",NA,NA
"5788",NA,NA
"5789",NA,NA
"5790",NA,NA
"5791",NA,NA
"5792",NA,NA
"5793",NA,NA
"5794",NA,NA
"5795",NA,NA
"5796",NA,NA
"5797",NA,NA
"5798",NA,NA
"5799",NA,NA
"5800",NA,NA
"5801",NA,NA
"5802",NA,NA
"5803",NA,NA
"5804",NA,NA
"5805",NA,NA
"5806",NA,NA
"5807",NA,NA
"5808",NA,NA
"5809",NA,NA
"5810",NA,NA
"5869",NA,NA
"5874",NA,NA
"5875",NA,NA
"5959",NA,NA
"5961",NA,NA
"5967",NA,NA
"5977",NA,NA
"5978",NA,NA
"4403",NA,NA
"5813",NA,NA
"5814",NA,NA
"5815",NA,NA
"5818",NA,NA
"5820",NA,NA
"5822",NA,NA
"5826",NA,NA
"5831",NA,NA
"5834",NA,NA
"5836",NA,NA
"5837",NA,NA
"5846",NA,NA
"5847",NA,NA
"5850",NA,NA
"5865",NA,NA
"5872",NA,NA
"5876",NA,NA
"5881",NA,NA
"5884",NA,NA
"5886",NA,NA
"5901",NA,NA
"5916",NA,NA
"5920",NA,NA
"5924",NA,NA
"5935",NA,NA
"5939",NA,NA
"5942",NA,NA
"5944",NA,NA
"5949",NA,NA
"5957",NA,NA
"5979",NA,NA
"5983",NA,NA
"5985",NA,NA
"6008",NA,NA
"6032",NA,NA
"6041",NA,NA
"6085",NA,NA
"6137",NA,NA
"6229",NA,NA
"6230",NA,NA
"6203",NA,NA
"6212",NA,NA
"6215",NA,NA
"6217",NA,NA
"6223",NA,NA
"6224",NA,NA
"6225",NA,NA
"6226",NA,NA
"6227",NA,NA
"6228",NA,NA
"6231",NA,NA
"6232",NA,NA
"6233",NA,NA
"6234",NA,NA
"6235",NA,NA
"4444",NA,NA
"4445",NA,NA
"4446",NA,NA
"4447",NA,NA
"4448",NA,NA
"4449",NA,NA
"4450",NA,NA
"4451",NA,NA
"4452",NA,NA
"4453",NA,NA
"4454",NA,NA
"4455",NA,NA
"4456",NA,NA
"4457",NA,NA
"4458",NA,NA
"4459",NA,NA
"4460",NA,NA
"4461",NA,NA
"4462",NA,NA
"4463",NA,NA
"4464",NA,NA
"4465",NA,NA
"4466",NA,NA
"4467",NA,NA
"4468",NA,NA
"4469",NA,NA
"4470",NA,NA
"4471",NA,NA
"4472",NA,NA
"4473",NA,NA
"4474",NA,NA
"4475",NA,NA
"4476",NA,NA
"4477",NA,NA
"4478",NA,NA
"4479",NA,NA
"4480",NA,NA
"4481",NA,NA
"4482",NA,NA
"4483",NA,NA
"4484",NA,NA
"4485",NA,NA
"4486",NA,NA
"4487",NA,NA
"4488",NA,NA
"4489",NA,NA
"4490",NA,NA
"4491",NA,NA
"4492",NA,NA
"4493",NA,NA
"4494",NA,NA
"4139",NA,NA
"4140",NA,NA
"4142",NA,NA
"4143",NA,NA
"4148",NA,NA
"4154",NA,NA
"4159",NA,NA
"4169",NA,NA
"4170",NA,NA
"4172",NA,NA
"4173",NA,NA
"4187",NA,NA
"4191",NA,NA
"4192",NA,NA
"4193",NA,NA
"4194",NA,NA
"4195",NA,NA
"4196",NA,NA
"4197",NA,NA
"4198",NA,NA
"4199",NA,NA
"4200",NA,NA
"4201",NA,NA
"4204",NA,NA
"4205",NA,NA
"4206",NA,NA
"4208",NA,NA
"4209",NA,NA
"4214",NA,NA
"4218",NA,NA
"4219",NA,NA
"4224",NA,NA
"4225",NA,NA
"4226",NA,NA
"4227",NA,NA
"4232",NA,NA
"4233",NA,NA
"4234",NA,NA
"4235",NA,NA
"4269",NA,NA
"4270",NA,NA
"4278",NA,NA
"4279",NA,NA
"4283",NA,NA
"4286",NA,NA
"4287",NA,NA
"4288",NA,NA
"4292",NA,NA
"4296",NA,NA
"4297",NA,NA
"4298",NA,NA
"4299",NA,NA
"4300",NA,NA
"4308",NA,NA
"4315",NA,NA
"4316",NA,NA
"4317",NA,NA
"4320",NA,NA
"4327",NA,NA
"4329",NA,NA
"4330",NA,NA
