,BirdID,Brood.code,Chick.code,social.fem,social.male,Age,Date,Year,Time,Mass,Chick.order,Air.temp,max.temp,CF.brood.no,f.cc,femID,m.cc,maleID,maxage,surv
2336,9987,R010,CR0032,WR/YM,CW/NM,2,25/04/2018,2018,07:20:00,1.9,1,16.2,26.4,R012,WR/YM,9066,CW/NM,9893,2,1
2337,9988,R010,CR0033,WR/YM,CW/NM,2,25/04/2018,2018,07:20:00,2,2,15.9,24.5,R012,WR/YM,9066,CW/NM,9893,2,1
2338,9989,R010,CR0034,WR/YM,CW/NM,2,25/04/2018,2018,07:20:00,2.1,3,15.8,25,R012,WR/YM,9066,CW/NM,9893,10,0
2340,9989,R012,CR0034,WR/YM,CW/NM,5,28/04/2018,2018,NA,3.9,NA,11.6,NA,R012,WR/YM,9066,CW/NM,9893,10,0
2339,9989,R012,CR0034,WR/YM,CW/NM,10,03/05/2018,2018,08:17:00,5.8,1,12,32.44431946,NA,WR/YM,9066,CW/NM,9893,10,1
2341,9990,R012,CR0035,MB/OD,DM/OC,2,25/04/2018,2018,07:34:00,2.9,1,14.1,27.5,R010,WR/YM,9066,CW/NM,9893,2,1
2342,9991,R012,CR0036,MB/OD,DM/OC,2,25/04/2018,2018,07:34:00,3.1,2,13.9,26.2,R010,WR/YM,9066,CW/NM,9893,2,1
2343,9992,R012,CR0037,MB/OD,DM/OC,2,25/04/2018,2018,07:34:00,2.6,3,13.9,25.3,R010,WR/YM,9066,CW/NM,9893,2,1
2346,9993,R012,CR0038,MB/OD,DM/OC,2,25/04/2018,2018,07:34:00,2,4,13.9,24.5,NA,WR/YM,9066,CW/NM,9893,10,0
2344,9993,R012,CR0038,MB/OD,DM/OC,5,28/04/2018,2018,,4.1,NA,11.6,NA,NA,WR/YM,9066,CW/NM,9893,10,0
2345,9993,R012,CR0038,MB/OD,DM/OC,10,03/05/2018,2018,08:17:00,6.4,2,11.7,31.5106692,NA,WR/YM,9066,CW/NM,9893,10,1
2347,9997,R013,CR0042,BD/CM,OC/MY,2,26/04/2018,2018,09:23:00,1.9,1,13.2,31.1,R011,BD/CM,5284,OC/MY,9267,2,1
2349,9998,R013,CR0043,BD/CM,OC/MY,2,26/04/2018,2018,09:23:00,2.6,2,13.2,30.5,R011,BD/CM,5284,OC/MY,9267,10,0
2348,9998,R011,CR0043,BD/CM,OC/MY,5,29/04/2018,2018,,7.3,NA,12.7,NA,R011,BD/CM,5284,OC/MY,9267,10,0
2350,9998,R011,CR0043,BD/CM,OC/MY,10,04/05/2018,2018,08:13:00,11.5,1,12.9,32.3,R011,BD/CM,5284,OC/MY,9267,10,1
2351,9999,R013,CR0044,BD/CM,OC/MY,2,26/04/2018,2018,09:23:00,2.9,3,13.6,29.3,R011,BD/CM,5284,OC/MY,9267,2,1
1,10000,R013,CR0045,BD/CM,OC/MY,2,26/04/2018,2018,09:23:00,2.1,4,13.4,27.7,R011,BD/CM,5284,OC/MY,9267,2,1
2,10001,R011,CR0046,WR/YM,MD/YN,2,26/04/2018,2018,09:13:00,3.8,1,12.4,26.3,R013,BD/CM,5284,OC/MY,9267,2,1
3,10002,R011,CR0047,WR/YM,MD/YN,2,26/04/2018,2018,09:13:00,3.7,2,12.5,25.8,R013,BD/CM,5284,OC/MY,9267,2,1
4,10003,R011,CR0048,WR/YM,MD/YN,2,26/04/2018,2018,09:13:00,2.2,3,12.1,25.3,R013,BD/CM,5284,OC/MY,9267,2,1
5,10004,R011,CR0049,WR/YM,MD/YN,2,26/04/2018,2018,09:13:00,2.6,4,12.8,23.8,R013,BD/CM,5284,OC/MY,9267,2,1
9,10011,R017,CR0050,OO/YM,YR/YM,2,28/04/2018,2018,08:03:00,2.2,1,11.4,29.9,R016,OO/YM,9121,YR/YM,9143,12,1
6,10011,R016,CR0050,OO/YM,YR/YM,5,01/05/2018,2018,08:49:00,5.5,1,12.8,NA,R016,OO/YM,9121,YR/YM,9143,12,0
8,10011,R016,CR0050,OO/YM,YR/YM,10,06/05/2018,2018,08:32:00,8.2,2,15.2,31.8,R016,OO/YM,9121,YR/YM,9143,12,1
7,10011,R016,CR0050,OO/YM,YR/YM,12,08/05/2018,2018,09:06:00,10.2,2,15.9,33.64025765,R016,OO/YM,9121,YR/YM,9143,12,1
13,10012,R017,CR0051,OO/YM,YR/YM,2,28/04/2018,2018,08:03:00,2.6,2,11.4,31,R016,OO/YM,9121,YR/YM,9143,12,1
12,10012,R016,CR0051,OO/YM,YR/YM,5,01/05/2018,2018,08:49:00,5.4,2,12.8,31.5,NA,OO/YM,9121,YR/YM,9143,12,0
11,10012,R016,CR0051,OO/YM,YR/YM,10,06/05/2018,2018,08:32:00,7.8,1,15.2,32.2,NA,OO/YM,9121,YR/YM,9143,12,1
10,10012,R016,CR0051,OO/YM,YR/YM,12,08/05/2018,2018,09:06:00,9.8,1,15.9,34.55159694,NA,OO/YM,9121,YR/YM,9143,12,1
14,10013,R017,CR0052,OO/YM,YR/YM,2,28/04/2018,2018,08:03:00,3.4,3,11.5,30.8,NA,OO/YM,9121,YR/YM,9143,2,0
15,10014,R017,CR0053,OO/YM,YR/YM,2,28/04/2018,2018,08:03:00,2.5,4,11.5,28,NA,OO/YM,9121,YR/YM,9143,2,1
16,10015,R016,CR0054,MD/NB,MY/YW,2,28/04/2018,2018,08:12:00,3.3,1,11.9,27.8,R017,OO/YM,9121,YR/YM,9143,2,1
17,10016,R016,CR0055,MD/NB,MY/YW,2,28/04/2018,2018,08:12:00,3.5,2,12,27.6,R017,OO/YM,9121,YR/YM,9143,2,0
20,10019,R018,CR0056,DM/CV,DM/OB,2,29/04/2018,2018,08:31:00,3.2,1,12.7,27.3,NA,DM/CV,6955,DM/OB,6924,12,1
21,10019,R018,CR0056,DM/CV,DM/OB,5,02/05/2018,2018,08:25:00,4.9,2,13.5,30.6,NA,DM/CV,6955,DM/OB,6924,12,1
18,10019,R018,CR0056,DM/CV,DM/OB,10,07/05/2018,2018,09:13:00,9.7,1,15.7,35.2,NA,DM/CV,6955,DM/OB,6924,12,1
19,10019,R018,CR0056,DM/CV,DM/OB,12,09/05/2018,2018,08:02:00,11.5,1,14.2,31.77616242,NA,DM/CV,6955,DM/OB,6924,12,1
23,10020,R018,CR0057,DM/CV,DM/OB,2,29/04/2018,2018,08:31:00,3,2,12.7,25.5,NA,DM/CV,6955,DM/OB,6924,12,1
25,10020,R018,CR0057,DM/CV,DM/OB,5,02/05/2018,2018,08:25:00,4,1,13.5,30.8,NA,DM/CV,6955,DM/OB,6924,12,0
24,10020,R018,CR0057,DM/CV,DM/OB,10,07/05/2018,2018,09:13:00,11.3,2,15.8,34.7,NA,DM/CV,6955,DM/OB,6924,12,1
22,10020,R018,CR0057,DM/CV,DM/OB,12,09/05/2018,2018,08:02:00,13.2,2,14.2,33.37217305,NA,DM/CV,6955,DM/OB,6924,12,1
26,10021,R029,CR0058,YW/MB,RM/OY,2,01/05/2018,2018,08:58:00,4.6,1,13.1,32.2,NA,YW/MB,8726,RM/OY,7615,12,1
