Offspring,Dam,Sire,Cohort
5680,NA,NA,1989
5681,NA,NA,1989
5682,NA,NA,1989
5683,NA,NA,1989
5685,NA,NA,1989
5689,NA,NA,1989
5690,NA,NA,1989
5691,NA,NA,1989
5692,NA,NA,1989
5693,NA,NA,1989
5697,NA,NA,1989
5698,NA,NA,1989
5699,NA,NA,1989
5704,NA,NA,1989
5705,NA,NA,1989
5706,NA,NA,1989
5707,NA,NA,1989
5708,NA,NA,1989
5709,NA,NA,1989
5684,NA,NA,1990
5686,NA,NA,1990
5687,NA,NA,1990
5688,NA,NA,1990
5694,NA,NA,1990
5695,NA,NA,1990
5696,NA,NA,1990
5700,NA,NA,1990
5701,NA,NA,1990
5702,NA,NA,1990
5703,NA,NA,1990
5710,NA,NA,1990
5711,NA,NA,1990
5713,NA,NA,1990
5714,NA,NA,1990
4401,NA,NA,1991
5712,NA,NA,1991
5715,NA,NA,1991
5716,NA,NA,1991
5717,NA,NA,1991
5719,NA,NA,1991
5720,NA,NA,1991
5721,NA,NA,1991
5723,NA,NA,1991
5724,NA,NA,1991
5725,NA,NA,1991
5726,NA,NA,1991
5728,NA,NA,1991
5729,NA,NA,1991
5732,NA,NA,1991
5733,NA,NA,1991
5734,NA,NA,1991
5736,NA,NA,1991
5737,NA,NA,1991
5738,NA,NA,1991
5739,NA,NA,1991
5741,NA,NA,1991
5727,NA,NA,1992
5730,NA,NA,1992
5731,NA,NA,1992
5735,NA,NA,1992
5740,NA,NA,1992
5742,NA,NA,1992
5743,NA,NA,1992
5744,NA,NA,1992
5745,NA,NA,1992
5746,NA,NA,1992
5747,NA,NA,1992
5749,NA,NA,1992
5750,NA,NA,1992
5760,NA,NA,1992
5761,NA,NA,1992
5748,NA,NA,1993
5752,NA,NA,1993
5753,NA,NA,1993
5754,NA,NA,1993
5755,NA,NA,1993
5756,NA,NA,1993
5757,NA,NA,1993
5758,NA,NA,1993
5759,NA,NA,1993
5762,NA,NA,1993
5763,NA,NA,1993
5764,NA,NA,1993
5765,NA,NA,1993
5766,NA,NA,1993
5767,NA,NA,1993
5768,NA,NA,1993
5769,NA,NA,1993
5771,NA,NA,1993
5783,NA,NA,1993
5784,NA,NA,1993
5785,NA,NA,1993
5786,NA,NA,1993
5787,NA,NA,1993
4399,NA,NA,1994
4402,NA,NA,1994
4409,NA,NA,1994
4410,NA,NA,1994
4411,NA,NA,1994
4499,NA,NA,1994
5770,NA,NA,1994
5772,NA,NA,1994
5773,NA,NA,1994
5774,NA,NA,1994
5775,NA,NA,1994
5776,NA,NA,1994
5777,NA,NA,1994
5778,NA,NA,1994
5779,NA,NA,1994
5780,NA,NA,1994
5781,NA,NA,1994
5782,NA,NA,1994
5788,NA,NA,1994
5789,NA,NA,1994
5790,NA,NA,1994
5791,NA,NA,1994
5792,NA,NA,1994
5793,NA,NA,1994
5794,NA,NA,1994
5795,NA,NA,1994
5796,NA,NA,1994
5797,NA,NA,1994
5798,NA,NA,1994
5799,NA,NA,1994
5800,NA,NA,1994
5801,NA,NA,1994
5802,NA,NA,1994
5803,NA,NA,1994
5804,NA,NA,1994
5805,NA,NA,1994
5806,NA,NA,1994
5807,NA,NA,1994
5808,NA,NA,1994
5809,NA,NA,1994
5810,NA,NA,1994
5869,NA,NA,1994
5874,NA,NA,1994
5875,NA,NA,1994
5959,NA,NA,1994
5961,NA,NA,1994
5967,NA,NA,1994
5977,NA,NA,1994
5978,NA,NA,1994
4400,NA,5756,1995
4403,NA,NA,1995
4404,NA,5737,1995
4405,NA,5782,1995
4406,NA,5713,1995
4407,NA,4410,1995
5811,NA,5748,1995
5812,NA,5748,1995
5813,NA,NA,1995
5814,NA,NA,1995
5815,NA,NA,1995
5816,NA,4401,1995
5817,NA,5731,1995
5818,NA,NA,1995
5819,5809,5782,1995
5820,NA,NA,1995
5821,NA,5755,1995
5822,NA,NA,1995
5823,NA,5769,1995
5824,NA,5739,1995
5825,NA,5769,1995
5826,NA,NA,1995
5827,5809,5695,1995
5828,NA,5764,1995
5829,NA,5781,1995
5830,5742,5717,1995
5831,NA,NA,1995
5832,NA,5869,1995
5833,5738,4401,1995
5834,NA,NA,1995
5835,5742,4399,1995
5836,NA,NA,1995
5837,NA,NA,1995
5838,NA,5710,1995
5839,NA,5710,1995
5840,NA,5710,1995
5841,5742,5761,1995
5842,NA,5756,1995
5843,NA,5756,1995
5844,5742,5761,1995
5845,NA,5781,1995
5846,NA,NA,1995
5847,NA,NA,1995
5848,NA,5798,1995
5849,NA,5800,1995
