"","BirdID","Dam","Sire"
"1","4495",NA,NA
"1.1","4441",NA,NA
"1.2","4496",NA,NA
"1.3","4442",NA,NA
"1.4","4497",NA,NA
"1.5","4498",NA,NA
"1.6","4420",NA,NA
"1.7","4443",NA,NA
"1.8","512",NA,NA
"1.9","6245",NA,NA
"1.10","6238",NA,NA
"1.11","7022",NA,NA
"1.12","8636",NA,NA
"1.13","8304",NA,NA
"1.14","8300",NA,NA
"1.15","8060",NA,NA
"1.16","8750",NA,NA
"1.17","8941",NA,NA
"1.18","4412",NA,NA
"1.19","4416",NA,NA
"1.20","4414",NA,NA
"1.21","4413",NA,NA
"1.22","4417",NA,NA
"1.23","4415",NA,NA
"1.24","4418",NA,NA
"1.25","4419",NA,NA
"1.26","500",NA,NA
"1.27","513",NA,NA
"1.28","504",NA,NA
"1.29","505",NA,NA
"1.30","499",NA,NA
"1.31","494",NA,NA
"1.32","5676",NA,NA
"1.33","5669",NA,NA
"1.34","7024",NA,NA
"1.35","6887",NA,NA
"1.36","6645",NA,NA
"1.37","6562",NA,NA
"1.38","8748",NA,NA
"1.39","9038",NA,NA
"1.40","8752",NA,NA
"1.41","8747",NA,NA
"1.42","10179",NA,NA
"11000","5680",NA,NA
"2","5681",NA,NA
"3","5682",NA,NA
"4","5683",NA,NA
"5","5685",NA,NA
"6","5689",NA,NA
"7","5690",NA,NA
"8","5691",NA,NA
"9","5692",NA,NA
"10","5693",NA,NA
"11","5697",NA,NA
"12","5698",NA,NA
"13","5699",NA,NA
"14","5704",NA,NA
"15","5705",NA,NA
"16","5706",NA,NA
"17","5707",NA,NA
"18","5708",NA,NA
"19","5709",NA,NA
"20","5684",NA,NA
"21","5686",NA,NA
"22","5687",NA,NA
"23","5688",NA,NA
"24","5694",NA,NA
"25","5695",NA,NA
"26","5696",NA,NA
"27","5700",NA,NA
"28","5701",NA,NA
"29","5702",NA,NA
"30","5703",NA,NA
"31","5710",NA,NA
"32","5711",NA,NA
"33","5713",NA,NA
"34","5714",NA,NA
"35","4401",NA,NA
"36","5712",NA,NA
"37","5715",NA,NA
"38","5716",NA,NA
"39","5717",NA,NA
"40","5719",NA,NA
"41","5720",NA,NA
"42","5721",NA,NA
"43","5723",NA,NA
"44","5724",NA,NA
"45","5725",NA,NA
"46","5726",NA,NA
"47","5728",NA,NA
"48","5729",NA,NA
"49","5732",NA,NA
"50","5733",NA,NA
"51","5734",NA,NA
"52","5736",NA,NA
"53","5737",NA,NA
"54","5738",NA,NA
"55","5739",NA,NA
"56","5741",NA,NA
"57","5727",NA,NA
"58","5730",NA,NA
"59","5731",NA,NA
"60","5735",NA,NA
"61","5740",NA,NA
"62","5742",NA,NA
"63","5743",NA,NA
"64","5744",NA,NA
"65","5745",NA,NA
"66","5746",NA,NA
"67","5747",NA,NA
"68","5749",NA,NA
"69","5750",NA,NA
"70","5760",NA,NA
"71","5761",NA,NA
"72","5748",NA,NA
"73","5752",NA,NA
"74","5753",NA,NA
"75","5754",NA,NA
"76","5755",NA,NA
"77","5756",NA,NA
"78","5757",NA,NA
"79","5758",NA,NA
"80","5759",NA,NA
"81","5762",NA,NA
"82","5763",NA,NA
"83","5764",NA,NA
"84","5765",NA,NA
"85","5766",NA,NA
"86","5767",NA,NA
"87","5768",NA,NA
"88","5769",NA,NA
"89","5771",NA,NA
"90","5783",NA,NA
"91","5784",NA,NA
"92","5785",NA,NA
"93","5786",NA,NA
"94","5787",NA,NA
"95","4399",NA,NA
"96","4402",NA,NA
"97","4409",NA,NA
"98","4410",NA,NA
"99","4411",NA,NA
"100","4499",NA,NA
"101","5770",NA,NA
"102","5772",NA,NA
"103","5773",NA,NA
"104","5774",NA,NA
"105","5775",NA,NA
"106","5776",NA,NA
"107","5777",NA,NA
"108","5778",NA,NA
"109","5779",NA,NA
"110","5780",NA,NA
"111","5781",NA,NA
"112","5782",NA,NA
"113","5788",NA,NA
"114","5789",NA,NA
"115","5790",NA,NA
"116","5791",NA,NA
"117","5792",NA,NA
"118","5793",NA,NA
"119","5794",NA,NA
"120","5795",NA,NA
"121","5796",NA,NA
"122","5797",NA,NA
"123","5798",NA,NA
