Photo.id,BirdID,Brood.code,Chick.code,social.fem,social.male,Age,Date,Year,Time,Mass,Chick.order,Air.temp,max.temp,CF.brood.no,f.cc,femID,m.cc,maleID,maxage,surv
FLIR4887,10347,R122,CR0380,NM/VR,VD/YM,2,29/06/2018,2018,07:28:00,4.5,1,17.2,33.6,R123,NM/VR,9549,VD/YM,9133,12,0
FLIR5211,10347,R123,CR0380,RN/MB,NA,5,02/07/2018,2018,09:12:00,12.9,3,22,36.48735747,NA,RN/MB,8690,NA,NA,12,0
FLIR5716,10347,R123,CR0380,RN/MB,NA,10,07/07/2018,2018,08:51:00,21.9,3,23.5,39.6398842,NA,RN/MB,8690,NA,NA,12,0
FLIR5907,10347,R123,CR0380,RN/MB,NA,12,09/07/2018,2018,11:21:00,23.6,2,26.8,39.33430352,NA,RN/MB,8690,NA,NA,12,1
FLIR4891,10348,R122,CR0381,NM/VR,VD/YM,2,29/06/2018,2018,07:28:00,4.9,2,17.2,32.3,R123,NM/VR,9549,VD/YM,9133,12,0
FLIR5202,10348,R123,CR0381,RN/MB,NA,5,02/07/2018,2018,09:12:00,15.7,1,21.9,38.62200032,NA,RN/MB,8690,NA,NA,12,0
FLIR5712,10348,R123,CR0381,RN/MB,NA,10,07/07/2018,2018,08:51:00,23.2,2,23.5,40.02703569,NA,RN/MB,8690,NA,NA,12,0
FLIR5912,10348,R123,CR0381,RN/MB,NA,12,09/07/2018,2018,11:21:00,23.3,3,26.8,38.10510544,NA,RN/MB,8690,NA,NA,12,1
FLIR4898,10349,R122,CR0382,NM/VR,VD/YM,2,29/06/2018,2018,07:28:00,2.1,3,17.4,30.2,R123,NM/VR,9549,VD/YM,9133,5,0
FLIR5216,10349,R123,CR0382,RN/MB,NA,5,02/07/2018,2018,09:12:00,4.7,4,22.1,33.8,NA,RN/MB,8690,NA,NA,5,1
FLIR4903,10350,R122,CR0383,NM/VR,VD/YM,2,29/06/2018,2018,07:28:00,3.6,4,17.4,29.3,R123,NM/VR,9549,VD/YM,9133,12,0
FLIR5207,10350,R123,CR0383,RN/MB,NA,5,02/07/2018,2018,09:12:00,11.7,2,22,36.81571195,NA,RN/MB,8690,NA,NA,12,0
FLIR5707,10350,R123,CR0383,RN/MB,NA,10,07/07/2018,2018,08:51:00,23.9,1,23.5,39.5,NA,RN/MB,8690,NA,NA,12,0
FLIR5902,10350,R123,CR0383,RN/MB,NA,12,09/07/2018,2018,11:21:00,6.7,1,26.8,41.3,NA,RN/MB,8690,NA,NA,12,1
FLIR4947,10351,R123,CR0384,RN/MB,NA,2,29/06/2018,2018,11:51:00,4.1,1,25.5,35.64023541,R122,RN/MB,8690,NA,NA,12,0
FLIR5166,10351,R122,CR0384,NM/VR,VD/YM,5,02/07/2018,2018,07:14:00,9.6,3,18.4,36.82125622,NA,NM/VR,9549,VD/YM,9133,12,0
FLIR5644,10351,R122,CR0384,NM/VR,VD/YM,10,07/07/2018,2018,06:56:00,23.8,3,19.4,39.93737917,NA,NM/VR,9549,VD/YM,9133,12,0
FLIR5843,10351,R122,CR0384,NM/VR,VD/YM,12,09/07/2018,2018,08:36:00,24.9,2,21.6,39.2,NA,NM/VR,9549,VD/YM,9133,12,1
FLIR4953,10352,R123,CR0385,RN/MB,NA,2,29/06/2018,2018,11:51:00,4.8,2,25.5,35.7,R122,RN/MB,8690,NA,NA,12,0
FLIR5155,10352,R122,CR0385,NM/VR,VD/YM,5,02/07/2018,2018,07:14:00,10.6,1,18.3,35.17819497,NA,NM/VR,9549,VD/YM,9133,12,0
FLIR5649,10352,R122,CR0385,NM/VR,VD/YM,10,07/07/2018,2018,06:56:00,22.6,4,19.2,39.76771966,NA,NM/VR,9549,VD/YM,9133,12,0
FLIR5838,10352,R122,CR0385,NM/VR,VD/YM,12,09/07/2018,2018,08:36:00,23,1,21.3,38.3,NA,NM/VR,9549,VD/YM,9133,12,1
FLIR4958,10353,R123,CR0386,RN/MB,NA,2,29/06/2018,2018,11:51:00,4.5,3,25.4,35.4,R122,RN/MB,8690,NA,NA,12,0
FLIR5171,10353,R122,CR0386,NM/VR,VD/YM,5,02/07/2018,2018,07:14:00,11.2,4,18.4,34.3,NA,NM/VR,9549,VD/YM,9133,12,0
FLIR5639,10353,R122,CR0386,NM/VR,VD/YM,10,07/07/2018,2018,06:56:00,23.2,2,19.8,39.73734712,NA,NM/VR,9549,VD/YM,9133,12,0
FLIR5848,10353,R122,CR0386,NM/VR,VD/YM,12,09/07/2018,2018,08:36:00,24.5,3,21.8,38.3,NA,NM/VR,9549,VD/YM,9133,12,1
FLIR4963,10354,R123,CR0387,RN/MB,NA,2,29/06/2018,2018,11:51:00,2.6,4,25.4,34.5,R122,RN/MB,8690,NA,NA,12,0
FLIR5161,10354,R122,CR0387,NM/VR,VD/YM,5,02/07/2018,2018,07:14:00,6.9,2,18.3,35.59816329,NA,NM/VR,9549,VD/YM,9133,12,0
FLIR5634,10354,R122,CR0387,NM/VR,VD/YM,10,07/07/2018,2018,06:56:00,19.9,1,20,40.61647927,NA,NM/VR,9549,VD/YM,9133,12,0
FLIR5853,10354,R122,CR0387,NM/VR,VD/YM,12,09/07/2018,2018,08:36:00,21.9,4,21.9,38,NA,NM/VR,9549,VD/YM,9133,12,1
